region,name,type,carrier,tech,bus,capacity,capacity_cost,marginal_cost,profile,output_parameters
B,B-solar-pv,volatile,solar,pv,B-electricity,400000,,0,B-solar-pv-profile,{}
BB,BB-solar-pv,volatile,solar,pv,BB-electricity,11300000,,0,BB-solar-pv-profile,{}
