region,name,type,carrier,tech,bus,capacity,marginal_cost,output_parameters
BE,BE-electricity-shortage,shortage,electricity,shortage,BE-electricity,10000000,410,{}
BB,BB-electricity-shortage,shortage,electricity,shortage,BB-electricity,10000000,410,{}
