region,name,type,carrier,tech,bus,capacity,capacity_cost,marginal_cost,profile,output_parameters
BE,BE-wind-onshore,volatile,wind,onshore,BE-electricity,0,,0,BE-wind-onshore-profile,{}
BB,BB-wind-onshore,volatile,wind,onshore,BB-electricity,9900000,,0,BB-wind-onshore-profile,{}
