region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
B,B-ch4-gt,conversion,hardcoal,gt,B-ch4,B-electricity,0,,0.40,0.021,0.0045,False,{}
BB,BB-ch4-gt,conversion,hardcoal,gt,BB-ch4,BB-electricity,0,,0.40,0.021,0.0045,False,{}
