region,name,type,carrier,tech,bus,amount,profile
B,B-electricity-demand,load,electricity,demand,B-electricity,13400000000,B-electricity-demand-profile
BB,BB-electricity-demand,load,electricity,demand,BB-electricity,20327320000,BB-electricity-demand-profile
