region,name,type,carrier,tech,bus,capacity,marginal_cost,output_parameters
B,B-electricity-curtailment,excess,electricity,curtailment,B-electricity,,0,{}
BB,BB-electricity-curtailment,excess,electricity,curtailment,BB-electricity,,0,{}
