region,name,type,carrier,tech,bus,capacity,capacity_cost,marginal_cost,profile,output_parameters
B,B-wind-onshore,volatile,wind,onshore,B-electricity,0,,0,B-wind-onshore-profile,{}
BB,BB-wind-onshore,volatile,wind,onshore,BB-electricity,10700000,,0,BB-wind-onshore-profile,{}
