region,name,type,carrier,tech,bus,capacity,marginal_cost,output_parameters
B,B-electricity-shortage,shortage,electricity,shortage,B-electricity,,100000,{}
BB,BB-electricity-shortage,shortage,electricity,shortage,BB-electricity,,100000,{}
