,Color
PV,#bcbd22
Wind on,#1f77b4
Biomass,#2ca02c
CH4,#d62728
Liion Battery,#9467bd
El. Transmission,#17becf
El. Shortage,#ff7f0e
El. Curtailment,#7f7f7f
El. Demand,#000000
