id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
int;str;str;str;str;str;str;str;float or int;str;str;str
Numerical index;Key of scenario that allows to pass values associated with specific scenario;Unique name of the oemof component;Variable name;Energy carrier;Region ('ALL' if applies to all regions - 'TOTAL' if applies to sum of regions);Technology description;oemof.tabular facade type;Value;Unit of the variable;Source of the data;Additional information or notes such as the license or scope of validity
