region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
BE,BE-ch4-gt,conversion,hardcoal,gt,BE-ch4,BE-electricity,36000,71,0.40,0.021,0.0045,False,{}
BB,BB-ch4-gt,conversion,hardcoal,gt,BB-ch4,BB-electricity,141000,71,0.40,0.021,0.0045,False,{}
